featureName,Formula,Mass,mzCenter,RT(min),rtCenter,featureClass
L_Threonine,C4H9NO3,119.0582,118.051,1.272,76.32,MET
L_Threonine,[13C]4H9[15N]O3,124.0687,123.0614,1.272,76.32,REF
L_Tryptophan,C11H12N2O2,204.0899,203.0826,6.65,399,MET
L_Tryptophan,[13C]11H12[15N]2O2,217.1209,216.1136,6.65,399,REF
L_Tyrosine,C9H11NO3,181.0739,180.0666,2.137,128.22,MET
L_Tyrosine,[13C]9H11[15N]O3,191.1011,190.0938,2.137,128.22,REF
L_Valine,C5H11NO2,117.079,116.0717,1.543,92.58,MET
L_Valine,[13C]5H11[15N]O2,123.0928,122.0855,1.543,92.58,REF
Maleic_acid,C4H4O4,116.011,115.0037,11.4,684,MET
Maleic_acid,[13C]4H4O4,120.0244,119.0171,11.4,684,REF
Malonic_acid,C3H4O4,104.011,103.0037,11.723,703.38,MET
Malonic_acid,[13C]3H4O4,107.021,106.0137,11.723,703.38,REF
Melibiose,C12H22O11,342.1162,341.1089,1.296,77.76,MET
Melibiose,[13C]12H22O11,354.1565,353.1492,1.296,77.76,REF
Mevalonic_acid,C6H12O4,148.0736,147.0663,8.6,516,MET
Mevalonic_acid,[13C]6H12O4,154.0937,153.0864,8.6,516,REF
Mevalonic_acid_5_phosphate,C6H13O7P,228.0399,227.0326,13.13,787.8,MET
Mevalonic_acid_5_phosphate,[13C]6H13O7P,234.06,233.0527,13.13,787.8,REF
Mevalonolactone,C6H10O3,130.063,129.0557,2.5,150,MET
Mevalonolactone,[13C]6H10O3,136.0831,135.0758,2.5,150,REF
m_Hydroxybenzoic_acid,C7H6O3,138.0317,137.0244,12.008,720.48,MET
m_Hydroxybenzoic_acid,[13C]7H6O3,145.0552,144.0479,12.008,720.48,REF
myo_Inositol,C6H12O6,180.0634,179.0561,1.225,73.5,MET
myo_Inositol,[13C]6H12O6,186.0835,185.0762,1.225,73.5,REF
N_Acetyl_alpha_D_glucosamine_1_phosphate,C8H16NO9P,301.0563,300.049,7.579,454.74,MET
N_Acetyl_alpha_D_glucosamine_1_phosphate,[13C]8H16[15N]O9P,310.0801,309.0729,7.579,454.74,REF
N_Acetyl_D_galactosamine,C8H15NO6,221.0899,220.0827,1.489,89.34,MET
N_Acetyl_D_galactosamine,[13C]8H15[15N]O6,230.1138,229.1065,1.489,89.34,REF
N_Acetyl_D_glucosamine_6_phosphate,C8H16NO9P,301.0563,300.049,7.579,454.74,MET
N_Acetyl_D_glucosamine_6_phosphate,[13C]8H16[15N]O9P,310.0801,309.0729,7.579,454.74,REF
N_Acetylgalactosamine,C8H15NO6,221.0899,220.0827,1.489,89.34,MET
N_Acetylgalactosamine,[13C]8H15[15N]O6,230.1138,229.1065,1.489,89.34,REF
N_Acetylglucosamine,C8H15NO6,221.0899,220.0827,1.489,89.34,MET
N_Acetylglucosamine,[13C]8H15[15N]O6,230.1138,229.1065,1.489,89.34,REF
N_Acetylglutamic_Acid,C7H11NO5,189.0637,188.0564,12.131,727.86,MET
N_Acetylglutamic_Acid,[13C]7H11[15N]O5,197.0842,196.077,12.131,727.86,REF
N_Acetylneuraminic_acid,C11H19NO9,309.106,308.0987,5.767,346.02,MET
N_Acetylneuraminic_acid,[13C]11H19[15N]O9,321.1399,320.1326,5.767,346.02,REF
NAD,C21H28N7O14P2+,664.1169,662.1024,8.1,486,MET
NAD,[13C]21H28[15N]7O14P2+,692.1666,690.1521,8.1,486,REF
N_Carbamoyl_DL_aspartic_acid,C5H8N2O5,176.0433,175.036,12.197,731.82,MET
N_Carbamoyl_DL_aspartic_acid,[13C]5H8[15N]2O5,183.0542,182.0469,12.197,731.82,REF
N_Carbamyl_L_glutamic_acid,C6H10N2O5,190.059,189.0517,12.23,733.8,MET
N_Carbamyl_L_glutamic_acid,[13C]6H10[15N]2O5,198.0732,197.0659,12.23,733.8,REF
N_Formyl_L_Tyrosine,C10H11NO4,209.0688,208.0615,11.017,661.02,MET
N_Formyl_L_Tyrosine,[13C]10H11[15N]O4,220.0994,219.0921,11.017,661.02,REF
Nicotinamide,C6H6N2O,122.048,121.0407,11.91,714.6,MET
Nicotinamide,[13C]6H6[15N]2O,130.0622,129.0549,11.91,714.6,REF
Nicotinic_Acid,C6H5NO2,123.032,122.0248,10.451,627.06,MET
Nicotinic_Acid,[13C]6H5[15N]O2,130.0492,129.0419,10.451,627.06,REF
Nicotinic_acid_mononucleotide,C11H15NO9P+,336.0484,335.0412,7.6,456,MET
Nicotinic_acid_mononucleotide,[13C]11H15[15N]O9P+,348.0824,347.0751,7.6,456,REF
O_hydroxy_hippuric_acid,C9H9NO4,195.0532,194.0459,13.998,839.88,MET
O_hydroxy_hippuric_acid,[13C]9H9[15N]O4,205.0804,204.0731,13.998,839.88,REF
o_Phospho_L_Serine,C3H8NO6P,185.0089,184.0016,9,540,MET
o_Phospho_L_Serine,[13C]3H8[15N]O6P,189.016,188.0087,9,540,REF
O_phosphorylethanolamine,C2H8NO4P,141.0191,140.0118,1.5,90,MET
O_phosphorylethanolamine,[13C]2H8[15N]O4P,144.0228,143.0156,1.5,90,REF
Orotic_acid,C5H4N2O4,156.0171,155.0098,7.751,465.06,MET
Orotic_acid,[13C]5H4[15N]2O4,163.028,162.0207,7.751,465.06,REF
O_Succinyl_L_homoserine,C8H13NO6,219.0743,218.067,4.9,294,MET
O_Succinyl_L_homoserine,[13C]8H13[15N]O6,228.0982,227.0909,4.9,294,REF
Oxamic_acid,C2H3NO3,89.0113,88.004,5.7,342,MET
Oxamic_acid,[13C]2H3[15N]O3,92.015,91.0078,5.7,342,REF
Phenylpyruvic_Acid,C9H8O3,164.0473,163.0401,14.095,845.7,MET
Phenylpyruvic_Acid,[13C]9H8O3,173.0775,172.0703,14.095,845.7,REF
Phosphocreatine,C4H10N3O5P,211.0358,210.0285,6.2,372,MET
Phosphocreatine,[13C]4H10[15N]3O5P,218.0403,217.0331,6.2,372,REF
Phosphoenolpyruvic_acid,C3H5O6P,167.9824,166.9751,12.845,770.7,MET
Phosphoenolpyruvic_acid,[13C]3H5O6P,170.9924,169.9852,12.845,770.7,REF
Prephenic_acid,C10H10O6,226.0477,225.0405,11,660,MET
Prephenic_acid,[13C]10H10O6,236.0813,235.074,11,660,REF
Pyridoxal,C8H9NO3,167.0582,166.051,2.05,123,MET
Pyridoxal,[13C]8H9[15N]O3,176.0821,175.0748,2.05,123,REF
Pyridoxal_5_phosphate,C8H10NO6P,247.0246,246.0173,12.987,779.22,MET
Pyridoxal_5_phosphate,[13C]8H10[15N]O6P,256.0484,255.0412,12.987,779.22,REF
Pyridoxamine,C8H12N2O2,168.0899,167.0826,1.053,63.18,MET
Pyridoxamine,[13C]8H12[15N]2O2,178.1108,177.1035,1.053,63.18,REF
Pyridoxine,C8H11NO3,169.0739,168.0666,2.155,129.3,MET
Pyridoxine,[13C]8H11[15N]O3,178.0978,177.0905,2.155,129.3,REF
Pyruvaldehyde,C3H4O2,72.0211,71.0139,1.481,88.86,MET
Pyruvaldehyde,[13C]3H4O2,75.0312,74.0239,1.481,88.86,REF
Pyruvic_acid,C3H4O3,88.016,87.0088,8.366,501.96,MET
Pyruvic_acid,[13C]3H4O3,91.0261,90.0188,8.366,501.96,REF
Quinic_acid,C7H12O6,192.0634,191.0561,5.608,336.48,MET
Quinic_acid,[13C]7H12O6,199.0869,198.0796,5.608,336.48,REF
Riboflavin,C17H20N4O6,376.1383,375.131,10.849,650.94,MET
Riboflavin,[13C]17H20[15N]4O6,397.1835,396.1762,10.849,650.94,REF
Ribonic_acid_gamma_lactone,C5H8O5,148.0372,147.0299,1.584,95.04,MET
Ribonic_acid_gamma_lactone,[13C]5H8O5,153.0539,152.0467,1.584,95.04,REF
S_2_Aminoethyl_L_cysteine,C5H12N2O2S,164.0619,163.0547,0.92,55.2,MET
S_2_Aminoethyl_L_cysteine,[13C]5H12[15N]2O2S,171.0728,170.0655,0.92,55.2,REF
S_5_Adenosyl_L_methionine,C15H23N6O5S+,399.1451,398.1378,16.357,981.42,MET
S_5_Adenosyl_L_methionine,[13C]15H23[15N]6O5S+,420.1776,419.1703,16.357,981.42,REF
Salicylic_acid,C7H6O3,138.0317,137.0244,14.188,851.28,MET
Salicylic_acid,[13C]7H6O3,145.0552,144.0479,14.188,851.28,REF
Shikimic_Acid,C7H10O5,174.0528,173.0455,4.198,251.88,MET
Shikimic_Acid,[13C]7H10O5,181.0763,180.069,4.198,251.88,REF
Succinic_acid,C4H6O4,118.0266,117.0193,11.5,690,MET
Succinic_acid,[13C]4H6O4,122.04,121.0328,11.5,690,REF
Succinic_semialdehyde,C4H6O3,102.0317,101.0244,5.208,312.48,MET
Succinic_semialdehyde,[13C]4H6O3,106.0451,105.0378,5.208,312.48,REF
Taurine,C2H7NO3S,125.0147,124.0074,1.1,66,MET
Taurine,[13C]2H7[15N]O3S,128.0184,127.0111,1.1,66,REF
Taurocholic_acid,C26H45NO7S,515.2917,514.2844,15.836,950.16,MET
Taurocholic_acid,[13C]26H45[15N]O7S,542.3759,541.3687,15.836,950.16,REF
TDP,C10H16N2O11P2,402.0229,401.0157,13.7,822,MET
TDP,[13C]10H16[15N]2O11P2,414.0506,413.0433,13.7,822,REF
Thiamine,C12H17N4OS+,265.1123,264.105,1.065,63.9,MET
Thiamine,[13C]12H17[15N]4OS+,281.1407,280.1334,1.065,63.9,REF
Thymidine,C10H14N2O5,242.0903,241.083,5.778,346.68,MET
Thymidine,[13C]10H14[15N]2O5,254.1179,253.1106,5.778,346.68,REF
Thymine,C5H6N2O2,126.0429,125.0357,3.083,184.98,MET
Thymine,[13C]5H6[15N]2O2,133.0538,132.0465,3.083,184.98,REF
trans_trans_Muconic_acid,C6H6O4,142.0266,141.0193,13.04,782.4,MET
trans_trans_Muconic_acid,[13C]6H6O4,148.0467,147.0395,13.04,782.4,REF
Trans_4_hydroxy_L_Proline,C5H9NO3,131.0582,130.051,1.248,74.88,MET
Trans_4_hydroxy_L_Proline,[13C]5H9[15N]O3,137.0721,136.0648,1.248,74.88,REF
trans_Aconitic_acid,C6H6O6,174.0164,173.0092,13.8,828,MET
trans_Aconitic_acid,[13C]6H6O6,180.0366,179.0293,13.8,828,REF
Trehalose,C12H22O11,342.1162,341.1089,1.303,78.18,MET
Trehalose,[13C]12H22O11,354.1565,353.1492,1.303,78.18,REF
Trehalose_6_phosphate,C12H23O14P,422.0825,421.0753,6.89,413.4,MET
Trehalose_6_phosphate,[13C]12H23O14P,434.1228,433.1155,6.89,413.4,REF
TTP,C10H17N2O14P3,481.9893,480.982,15.3,918,MET
TTP,[13C]10H17[15N]2O14P3,494.0169,493.0096,15.3,918,REF
Turanose,C12H22O11,342.1162,341.1089,1.463,87.78,MET
Turanose,[13C]12H22O11,354.1565,353.1492,1.463,87.78,REF
UDP,C9H14N2O12P2,404.0022,402.9949,13.13,787.8,MET
UDP,[13C]9H14[15N]2O12P2,415.0265,414.0192,13.13,787.8,REF
UMP,C9H13N2O9P,324.0359,323.0286,9.306,558.36,MET
UMP,[13C]9H13[15N]2O9P,335.0601,334.0529,9.306,558.36,REF
Uracil,C4H4N2O2,112.0273,111.02,1.718,103.08,MET
Uracil,[13C]4H4[15N]2O2,118.0348,117.0275,1.718,103.08,REF
Uric_acid,C5H4N4O3,168.0283,167.0211,4.8,288,MET
Uric_acid,[13C]5H4[15N]4O3,177.0333,176.026,4.8,288,REF
Uridine,C9H12N2O6,244.0695,243.0623,2.419,145.14,MET
Uridine,[13C]9H12[15N]2O6,255.0938,254.0865,2.419,145.14,REF
Uridine_5_diphosphogalactose,C15H24N2O17P2,566.055,565.0477,12.095,725.7,MET
Uridine_5_diphosphogalactose,[13C]15H24[15N]2O17P2,583.0994,582.0921,12.095,725.7,REF
Uridine_5_diphosphoglucose,C15H24N2O17P2,566.055,565.0477,12.095,725.7,MET
Uridine_5_diphosphoglucose,[13C]15H24[15N]2O17P2,583.0994,582.0921,12.095,725.7,REF
UTP,C9H15N2O15P3,483.9685,482.9613,15.1,906,MET
UTP,[13C]9H15[15N]2O15P3,494.9928,493.9855,15.1,906,REF
Vanillic_acid,C8H8O4,168.0423,167.035,11.17,670.2,MET
Vanillic_acid,[13C]8H8O4,176.0691,175.0618,11.17,670.2,REF
Xanthine,C5H4N4O2,152.0334,151.0261,2.198,131.88,MET
Xanthine,[13C]5H4[15N]4O2,161.0383,160.0311,2.198,131.88,REF
Xanthosine,C10H12N4O6,284.0757,283.0684,6.847,410.82,MET
Xanthosine,[13C]10H12[15N]4O6,298.0974,297.0901,6.847,410.82,REF
Xylitol,C5H12O5,152.0685,151.0612,1.29,77.4,MET
Xylitol,[13C]5H12O5,157.0852,156.078,1.29,77.4,REF
